id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
23529499,Luxury 1 Bedroom condo with parking,158351140,Aline,,Islington-City Centre West,43.62088,-79.52182,Entire home/apt,119,1,114,2019-08-08,8.53,1,23
23544416,Luxury Apartment Downtown Toronto,82635385,Anna,,Waterfront Communities-The Island,43.64462,-79.39053,Entire home/apt,249,2,27,2019-07-22,1.59,2,342
23557745,Convenient Bedroom near Lawrence Subway Station.,65815444,Elisa,,Bedford Park-Nortown,43.71859,-79.42714,Private room,35,5,8,2019-07-16,0.53,5,1
23561697,Willowdale Prestigious Neighborhood,53785463,Tamer,,Willowdale East,43.76715,-79.40024,Entire home/apt,200,1,0,,,1,0
23563275,Charming Spacious 1 bedroom suite,516783,Ellen,,Caledonia-Fairbank,43.68906,-79.4557,Entire home/apt,46,14,5,2019-03-20,0.39,2,207
23564438,Yonge and eglinton one bed room Apartment,92888830,Zaigham,,Mount Pleasant West,43.70537,-79.39211,Entire home/apt,43,1,0,,,1,0
23566287,1 bedroom basement walking to Kennedy subway,2233587,Amy,,Eglinton East,43.7354,-79.26071,Private room,38,3,0,,,1,89
23567368,Cozy Bloor West private basement Apartment.,176128195,Alice,,Runnymede-Bloor West Village,43.65044,-79.48036,Entire home/apt,88,2,27,2019-08-04,1.63,1,57
23571873,Luxury Condo in the Sky near CN Tower,68380292,Megan,,Waterfront Communities-The Island,43.6408,-79.39273,Private room,114,2,12,2019-07-21,0.81,1,0
23575215,Private room in House on Trendy Queen Street West!,114336241,Alissa,,South Parkdale,43.63804,-79.44196,Private room,50,1,68,2019-08-01,3.94,1,354
23576267,Modern and Luxurious Suite in Downtown Core,12783799,Samar,,Waterfront Communities-The Island,43.64366,-79.3884,Entire home/apt,180,1,105,2019-07-26,6.03,1,56
23578407,Modern & Cozy Designer Condo,176230753,Jesse,,South Parkdale,43.63992,-79.42155,Entire home/apt,100,1,59,2019-07-21,3.55,1,80
23578412,"Accommodating, clean&cute 1 bdrm suite w prvt. ent",25506191,Daniella,,Cliffcrest,43.73815,-79.22865,Entire home/apt,50,1,50,2019-08-05,2.88,1,327
23578697,Quiet Place by Hwy 404/Finch - Free Parking,127525372,Meesaq,,L'Amoreaux,43.79451,-79.32946,Private room,58,2,9,2019-07-11,0.52,3,66
23588515,Davisville private guest suite,29042939,Vanessa,,Mount Pleasant East,43.70468,-79.38362,Entire home/apt,155,2,41,2019-08-03,3.32,1,75
23589691,Luxury cozy CN Tower lake views by Union Station,151026897,Meri,,Waterfront Communities-The Island,43.64294,-79.38253,Entire home/apt,145,2,76,2019-08-02,4.36,7,95
23594964,Trendy King west living at its best,32086055,Ron,,Waterfront Communities-The Island,43.64382,-79.39808,Entire home/apt,175,2,45,2019-07-17,4.07,2,18
23595194,Sunny Room in Artist's Home by Transit,897683,Hajnal,,Birchcliffe-Cliffside,43.7068,-79.24996,Private room,29,5,7,2019-07-17,0.46,2,41
23595313,Entire spacious and modern 1-bedroom apartment,176425410,Danna,,Forest Hill North,43.7027,-79.4236,Entire home/apt,100,1,4,2018-04-08,0.24,1,0
23596116,Cozy Private Room in Lovely House (Rm 2),165236505,Masumeh,,Newtonbrook East,43.79098,-79.41383,Private room,37,1,11,2019-07-25,0.80,3,0
23596951,Little-Italy Palmerston Hideaway Garret Apartment,1712436,Tara,,Palmerston-Little Italy,43.65958,-79.41099,Entire home/apt,186,1,22,2019-08-03,1.43,2,0
23597514,"Private Unit, Parking across the street,Kensington",149742140,Richard,,Kensington-Chinatown,43.65354,-79.39987,Entire home/apt,80,1,158,2019-08-05,9.19,2,28
23597847,Cozy Private Room in Lovely House (Rm 3),165236505,Masumeh,,Newtonbrook East,43.79269,-79.41248,Private room,40,1,10,2019-06-26,0.96,3,0
23598046,Cute Private Suite with backyard -Yonge & Eglinton,31558071,Sara,,Lawrence Park South,43.7142,-79.4011,Entire home/apt,90,2,28,2019-07-20,1.85,2,139
23598132,Comfort Condo,122110168,Monica,,Moss Park,43.65743,-79.3695,Entire home/apt,129,3,36,2019-07-22,2.10,2,46
23603380,ManCave Couch for 1 traveler at Finch STN w/ PKG,7430545,Macaron&Milo,,Willowdale East,43.77865,-79.41278,Shared room,23,3,14,2019-08-05,0.82,1,15
23604768,Bright and cozy with breakfast and snacks!,105080795,Joyce,,Little Portugal,43.64202,-79.42377,Private room,40,1,87,2019-07-28,5.07,2,126
23608360,"Coffee, Tea or Me",3126152,Eugene,,Ionview,43.73821,-79.27232,Entire home/apt,60,2,27,2019-08-06,1.58,1,37
23611701,2 bedroom loft style townhouse in Leslieville,2806542,Ivayla,,South Riverdale,43.66184,-79.33875,Entire home/apt,67,4,2,2018-04-10,0.12,1,0
23612312,"Private, Modern, Bright Roncesvalles Studio",34366888,Elliott,,Roncesvalles,43.63992,-79.44485,Entire home/apt,70,1,142,2019-08-08,8.18,1,89
23612947,Single Room in Beautiful Condo -Downtown,84189965,Julio,,Waterfront Communities-The Island,43.64023,-79.39245,Private room,60,1,8,2019-06-16,2.45,1,0
23613295,QUEEN WEST retreat in the Bellwoods park,64470479,Valerie,,Trinity-Bellwoods,43.6499,-79.41399,Entire home/apt,199,3,8,2019-06-29,0.47,3,9
